text,intent
asteroid dünyaya çarpar mı,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
gerçek veri mi,is_real
nasıl çalışıyor,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
gerçek veri mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid ne kadar tehlikeli,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid ne kadar tehlikeli,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
gerçek veri mi,is_real
nasıl çalışıyor,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
asteroid ne kadar tehlikeli,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünya ne kadar büyük,planet_size
gerçek veri mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
asteroid ne kadar tehlikeli,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroidlerin boyutu nedir,asteroid_size
dünyanın çapı kaç km,planet_size
gerçek veri mi,is_real
nasıl çalışıyor,how_it_works
asteroid ne kadar tehlikeli,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
nasıl çalışıyor,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
gerçek veri mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
bu sistem gerçek mi,is_real
bu sistem nasıl çalışır,how_it_works
asteroid dünyaya çarpar mı,asteroid_risk
dünyaya en yakın asteroid,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünya ne kadar büyük,planet_size
gerçek veri mi,is_real
nasıl çalışıyor,how_it_works
en tehlikeli asteroid hangisi,asteroid_risk
en yakın asteroid hangisi,asteroid_near
asteroid ne kadar büyük,asteroid_size
dünyanın çapı kaç km,planet_size
bu sistem gerçek mi,is_real
